Index,Sentence,Corrected,Start,End,S,D,I,Translation,Round Translation,Score,Comment
1,"Every minute, one of these 20 contestants will be eliminated and lose half a million dollars.","Every minute, one of these 20 contestants will be eliminated and lose half a million dollars.",0:01,0:07,0,0,0,Elke minuut wordt een van deze 20 deelnemers geëlimineerd en verliest een half miljoen dollar.,"Every minute, one of these 20 participants is eliminated and loses half a million dollars.",2,"The word ""will"" got substituted with ""is"""
2,Start the timer.,Start the timer.,0:11,0:12,0,0,0,Start de timer.,Start the timer.,3,
3,"Okay, what are we gonna do?","Okay, what are we gonna do?",0:15,0:17,0,0,0,"Oké, wat gaan we doen?","Okay, what are we going to do?",3,
4,"Like, do we just stand here?","Like, do we just stand here?",0:17,0:19,0,0,0,Moeten we gewoon hier staan?,Do we just stand here?,3,
5,"Every 60 seconds, someone gets eliminated.","Every 60 seconds, someone gets eliminated.",0:19,0:21,0,0,0,Elke 60 seconden wordt iemand geëlimineerd.,"Every 60 seconds, someone will be eliminated.",3,
6,The only context they have is what's displayed on their tablet.,The only context they have is what's displayed on their tablet.,0:22,0:25,0,0,0,De enige context die ze hebben is wat er op hun tablet staat.,The only context they have is what’s on their tablet.,3,
7,Let's see if they figure it out.,Let's see if they figure it out.,0:25,0:26,0,0,0,Laten we zien of ze het uitvinden.,Let’s see if they figure it out.,3,
8,Says to vote for someone.,Says to vote for someone.,0:26,0:28,0,0,0,Er staat dat we voor iemand moeten stemmen.,It says we need to vote for someone.,2,The subject is forgotten
9,Who do you guys want to vote for?,Who do you guys want to vote for?,0:28,0:29,0,0,0,Voor wie willen jullie stemmen?,Who do you want to vote for?,2,"""Guys"" is forgotten."
10,Is it vote for someone to say or someone to leave?,Is it vote for someone to say or someone to leave?,0:29,0:31,0,0,0,Is het stemmen voor iemand om te zeggen of iemand om te laten gaan?,Is it voting for someone to speak or to send someone home?,3,
11,"I don' well, who are we gonna vote for?","I don't know, who are we gonna vote for?",0:31,0:34,0,0,0,"Ik weet het niet goed, wie gaan we stemmen?","I don’t know, who are we voting for?",2,"""gonna"" is ommited."
12,I think I'm in shock.,I think I'm in shock.,0:34,0:35,0,0,0,Ik denk dat ik in shock ben.,I think I’m in shock.,3,
13,All of our numbers are on there.,All of our numbers are on there.,0:35,0:36,0,0,0,Al onze nummers staan daar.,All our numbers are on there.,3,
14,10 seconds to elimination.,11 seconds to elimination.,0:36,0:38,0,0,0,11 seconden tot eliminatie.,11 seconds until elimination.,3,
15,"Oh, no.","Oh, no.",0:38,0:39,0,0,0,Oh nee.,Oh no.,3,
16,I don't know though.,I don't know dog.,0:39,0:40,1,0,0,"Ik weet het niet, man.","I don’t know, man.",2,"""Man"" instead of ""dog"""
17,That's insane.,That's insane.,0:40,0:41,0,0,0,Dat is insane.,That’s insane.,3,
18,We didn't get any context.,We didn't get any context.,0:41,0:42,0,0,0,We kregen geen context.,We didn’t get any context.,3,
19,"Oh, my gosh.","Oh, my gosh.",0:42,0:43,0,0,0,Oh mijn god.,Oh my god.,3,
20,Wow.,Wow.,0:44,0:44,0,0,0,Wauw.,Wow.,3,
